mvtec_ad,toothbrush,spalwinnn,bilinear,False,-1,9,True,0.9277777671813965,0.938904345035553
mvtec_ad,transistor,spalwinnn,bilinear,False,-1,9,True,0.9337500333786011,0.9213101863861084
mvtec_ad,wood,spalwinnn,bilinear,False,-1,9,True,0.9815789461135864,0.9018266201019287
mvtec_ad,zipper,spalwinnn,bilinear,False,-1,9,True,0.8855041861534119,0.9419732689857483
mvtec_ad,bottle,spalwinnn,bilinear,False,-1,11,True,0.995238184928894,0.9494262337684631
mvtec_ad,cable,spalwinnn,bilinear,False,-1,11,True,0.7977886199951172,0.8708970546722412
mvtec_ad,capsule,spalwinnn,bilinear,False,-1,11,True,0.9824491143226624,0.9446133971214294
mvtec_ad,carpet,spalwinnn,bilinear,False,-1,11,True,0.9398073554039001,0.9377071261405945
mvtec_ad,grid,spalwinnn,bilinear,False,-1,11,True,0.841269850730896,0.9030224680900574
mvtec_ad,hazelnut,spalwinnn,bilinear,False,-1,11,True,0.9950000047683716,0.9550945162773132
mvtec_ad,leather,spalwinnn,bilinear,False,-1,11,True,0.993546187877655,0.9770826697349548
mvtec_ad,metal_nut,spalwinnn,bilinear,False,-1,11,True,0.9892473816871643,0.9446077346801758
mvtec_ad,pill,spalwinnn,bilinear,False,-1,11,True,0.8600655198097229,0.9531101584434509
mvtec_ad,screw,spalwinnn,bilinear,False,-1,11,True,0.9840130805969238,0.9670308232307434
mvtec_ad,tile,spalwinnn,bilinear,False,-1,11,True,0.8971861600875854,0.7221782803535461
mvtec_ad,toothbrush,spalwinnn,bilinear,False,-1,11,True,0.9277777671813965,0.9389669299125671
mvtec_ad,transistor,spalwinnn,bilinear,False,-1,11,True,0.9325000047683716,0.91997230052948
mvtec_ad,wood,spalwinnn,bilinear,False,-1,11,True,0.9824560880661011,0.9013363718986511
mvtec_ad,zipper,spalwinnn,bilinear,False,-1,11,True,0.8873424530029297,0.94181227684021
mvtec_ad,bottle,spalwinnn,bilinear,False,-1,13,True,0.9952380657196045,0.9494662284851074
mvtec_ad,cable,spalwinnn,bilinear,False,-1,13,True,0.7925412058830261,0.8704097867012024
mvtec_ad,capsule,spalwinnn,bilinear,False,-1,13,True,0.9824491143226624,0.9447080492973328
mvtec_ad,carpet,spalwinnn,bilinear,False,-1,13,True,0.9390048384666443,0.9366719722747803
mvtec_ad,grid,spalwinnn,bilinear,False,-1,13,True,0.834586501121521,0.9030119776725769
mvtec_ad,hazelnut,spalwinnn,bilinear,False,-1,13,True,0.9967857003211975,0.9554161429405212
mvtec_ad,leather,spalwinnn,bilinear,False,-1,13,True,0.993546187877655,0.9769185781478882
mvtec_ad,metal_nut,spalwinnn,bilinear,False,-1,13,True,0.9892473816871643,0.9455243945121765
mvtec_ad,pill,spalwinnn,bilinear,False,-1,13,True,0.8589743971824646,0.9531568884849548
mvtec_ad,screw,spalwinnn,bilinear,False,-1,13,True,0.9850379228591919,0.9669380187988281
mvtec_ad,tile,spalwinnn,bilinear,False,-1,13,True,0.8950216770172119,0.7197433710098267
mvtec_ad,toothbrush,spalwinnn,bilinear,False,-1,13,True,0.9277778267860413,0.9390206336975098
mvtec_ad,transistor,spalwinnn,bilinear,False,-1,13,True,0.9304166436195374,0.9189237952232361
mvtec_ad,wood,spalwinnn,bilinear,False,-1,13,True,0.9824560880661011,0.9006312489509583
mvtec_ad,zipper,spalwinnn,bilinear,False,-1,13,True,0.8904937505722046,0.9416244029998779
mvtec_ad,bottle,spalwinnn,bilinear,False,-1,15,True,0.9952380657196045,0.9494807720184326
mvtec_ad,cable,spalwinnn,bilinear,False,-1,15,True,0.7927286624908447,0.8697893023490906
mvtec_ad,capsule,spalwinnn,bilinear,False,-1,15,True,0.9824491143226624,0.9447711110115051
mvtec_ad,carpet,spalwinnn,bilinear,False,-1,15,True,0.9369983673095703,0.9356884360313416
mvtec_ad,grid,spalwinnn,bilinear,False,-1,15,True,0.8320802450180054,0.901935338973999
mvtec_ad,hazelnut,spalwinnn,bilinear,False,-1,15,True,0.9964286088943481,0.9551735520362854
mvtec_ad,leather,spalwinnn,bilinear,False,-1,15,True,0.9932065606117249,0.976782500743866
